GeneID	Length	logFC	logCPM	LR	PValue	FDR
ENSMUSG00000024647	2894	2.21380054925128	4.60365457430903	18.296787286493	1.890256838029e-05	0.167987125195637
ENSMUSG00000055235	5034	4.05909693769747	3.73128837669347	17.3681835293699	3.07937889721194e-05	0.182442935063483
ENSMUSG00000038587	6728	1.7358685077827	4.86730447179128	15.7195285751748	7.34618002758562e-05	0.24860227076384
ENSMUSG00000038323	3235	2.28759129521128	4.31583089980645	15.427222387962	8.57441667324777e-05	0.24860227076384
ENSMUSG00000085565	3308	2.86300315538982	3.95234007544826	15.2287672355955	9.52414997309023e-05	0.24860227076384
ENSMUSG00000050315	13089	2.44079502669581	4.21463885454279	13.9135676020467	0.000191411772973994	0.32119376680832
ENSMUSG00000019961	10998	1.73025092068776	4.65595796818836	13.7390483133844	0.000210041891929116	0.32119376680832
ENSMUSG00000020464	3516	5.3400380004721	2.99442713121778	13.6116572644863	0.000224785368715433	0.32119376680832
ENSMUSG00000050541	3382	1.97467872433577	4.43717673820161	13.0523962901245	0.000302896621092081	0.352353477082281
ENSMUSG00000037242	6572	1.04089632488661	6.23202613795161	12.9660794381087	0.000317185531299454	0.352353477082281
ENSMUSG00000049225	4507	1.65382780558268	5.98715254850655	12.5600468391618	0.000394081871027124	0.407342053780155
ENSMUSG00000016918	11294	1.8866673447628	4.37830435763399	12.4746067441456	0.000412521490269089	0.407342053780155
ENSMUSG00000042129	9209	2.53170293547499	3.73093798018057	12.1846458956146	0.000481844851201508	0.413890553703951
ENSMUSG00000013076	10064	1.27689294095612	5.34688144713814	12.1131174809081	0.000500683588985162	0.413890553703951
ENSMUSG00000067928	4209	5.58916700191011	3.1452296464325	12.0125691682925	0.000528429636409072	0.413890553703951
ENSMUSG00000030849	10328	1.26645682835169	5.39229882400978	11.8992488800904	0.000561565844318889	0.413890553703951
ENSMUSG00000037490	4237	2.90624787089185	3.57911013777631	11.8529080071341	0.000575713733128272	0.413890553703951
ENSMUSG00000021112	8777	1.42536812305001	5.07017017750314	11.7747177060573	0.000600406171305442	0.413890553703951
ENSMUSG00000029718	3823	2.28693143138256	3.86874253310476	11.4370161221769	0.000719953134086684	0.453417695892252
ENSMUSG00000030218	1187	1.56843718298239	4.75469960762035	11.3865077114857	0.000739794822824086	0.453417695892252
ENSMUSG00000004151	13296	1.34655458872081	5.39107126228239	11.1910884628872	0.000821911168208693	0.478287616133064
ENSMUSG00000084013	846	1.58334108318972	5.37975827394053	11.0135680155772	0.000904473733054972	0.478287616133064
