GeneID	Length	logFC	logCPM	LR	PValue	FDR
ENSMUSG00000016918	11294	2.62411720151598	4.41724431707274	23.4328026458896	1.29353910220296e-06	0.0217896661766089
ENSMUSG00000038587	6728	1.88340755838747	4.57617203095823	19.3827510647835	1.0696886224515e-05	0.0900945242259772
ENSMUSG00000024647	2894	2.04030151552733	4.26315020340087	17.6846922975829	2.60716303944494e-05	0.146392204664833
ENSMUSG00000055235	5034	3.00798329604534	3.55854820143838	14.4039911951862	0.000147489379634936	0.311112403796326
ENSMUSG00000085565	3308	2.82883953866593	3.44019750903382	14.1740725594513	0.000166651126015036	0.311112403796326
ENSMUSG00000050315	13089	2.45657783038627	3.73601443381624	14.158143139719	0.000168068077048654	0.311112403796326
ENSMUSG00000058488	9328	1.70871224300584	5.393485430069	13.5603448515693	0.000231014649313601	0.318811718777475
ENSMUSG00000091387	5087	5.3232665309132	2.4827002259923	13.348554235219	0.000258621930583413	0.318811718777475
ENSMUSG00000002897	8662	1.43411611666352	4.78399290104215	13.3031068028069	0.000264966700082199	0.318811718777475
ENSMUSG00000041817	6082	1.79215124132622	4.09143737776213	12.9597950291763	0.000318252021694452	0.335059706590191
ENSMUSG00000031216	5499	1.41192822998398	4.76795143850824	12.4839465566297	0.000410464115126903	0.406721648194863
ENSMUSG00000039943	8970	1.70858724868825	4.69942213633631	12.2743488630123	0.00045922685941256	0.429759802600254
ENSMUSG00000069874	3690	5.32160022699536	2.48233008280637	11.9459469048544	0.000547663897606429	0.474272456200858
ENSMUSG00000048583	5723	2.87328280279558	3.066424976999	11.7552647081601	0.000606713819485553	0.474272456200858
ENSMUSG00000029843	4528	1.6233741905993	4.96360861863387	11.6340127818554	0.000647567022417319	0.474272456200858
ENSMUSG00000039735	12376	1.33781114646104	4.89240315570419	11.1807719859143	0.000826493769987859	0.479083696219655
ENSMUSG00000096929	9354	1.35362656511871	4.66661736198065	11.1414299220852	0.00084420790023248	0.479083696219655
ENSMUSG00000013076	10064	1.18848148139648	4.95431101429605	11.1345113816659	0.000847362484822855	0.479083696219655
ENSMUSG00000032890	7972	1.15271240805792	7.437778229603	11.1123252592556	0.000857559085661124	0.479083696219655
ENSMUSG00000028268	3265	3.45023271710101	2.83593616173598	11.0871650027368	0.000869272757314354	0.479083696219655
ENSMUSG00000061859	13162	2.29710835760016	3.83249666605951	11.0609241142845	0.000881661892716492	0.479083696219655
ENSMUSG00000049225	4507	1.50813365780065	5.58842636720804	10.7545445259444	0.00104023565120066	0.502210403445266
ENSMUSG00000030208	5935	5.01032090045934	2.31312544919695	10.6392401934453	0.0011071315020958	0.518045282022325
ENSMUSG00000038323	3235	1.71284982511342	4.03939613511605	10.3216079481233	0.00131481687435547	0.555777614141485
ENSMUSG00000019820	17108	1.32618695588599	4.64841745122548	10.1125553002433	0.00147262642739056	0.555777614141485
ENSMUSG00000062127	8138	1.35139114774312	4.46045955463355	10.0872741028037	0.00149296796560559	0.555777614141485
ENSMUSG00000050541	3382	1.71367419881888	4.03729089702278	10.0783883675181	0.00150018491471253	0.555777614141485
ENSMUSG00000059474	13896	1.5327960890413	4.14420341986247	10.0439725548354	0.00152847228855859	0.555777614141485
ENSMUSG00000030849	10328	1.0338736379284	5.34170418427108	9.88912413451627	0.00166258486082326	0.555777614141485
ENSMUSG00000022335	7323	1.75758377510594	3.80296272469293	9.82841246009768	0.00171836597487263	0.555777614141485
ENSMUSG00000021112	8777	1.29886338423022	4.63067750926392	9.76769460526026	0.00177605017747191	0.555777614141485
ENSMUSG00000002831	6350	1.79906054462405	4.6166020260522	9.72823919932395	0.00181458240808236	0.555777614141485
ENSMUSG00000102101	1350	3.33853019974997	2.77175282359686	9.5931765680815	0.00195301775459357	0.555777614141485
ENSMUSG00000073867	3339	4.82395520363384	2.22009983853413	9.20951330806669	0.00240760691270191	0.555777614141485
ENSMUSG00000097881	3876	4.82418266467208	2.22028818801358	9.19158217968487	0.00243130640861032	0.555777614141485
ENSMUSG00000097183	2130	4.82418266467208	2.22028818801358	9.19158217968487	0.00243130640861032	0.555777614141485
ENSMUSG00000070327	16888	1.4293234614951	4.2651486267466	9.18466023303205	0.00244051832649601	0.555777614141485
ENSMUSG00000042129	9209	2.11054000440878	3.26623114514529	9.16606773613016	0.00246543747046712	0.555777614141485
ENSMUSG00000029563	16346	3.10680971756799	2.63435321784347	9.09958659526185	0.00255667274451441	0.555777614141485
ENSMUSG00000014361	4336	1.04404326952526	5.16942948249298	9.08777129526145	0.00257324259198636	0.555777614141485
ENSMUSG00000064036	4431	1.63731895141087	3.86666891971314	9.04764294934774	0.00263033707647875	0.555777614141485
ENSMUSG00000056116	3414	1.20126026652604	4.63167758181826	9.008729438176	0.0026869314332792	0.555777614141485
ENSMUSG00000085028	2976	1.16086270863077	4.83446750451089	8.97794507213842	0.00273257786861355	0.555777614141485
ENSMUSG00000023043	1437	2.42681736758843	3.16954475939139	8.96219989854231	0.00275622804939843	0.555777614141485
ENSMUSG00000030629	4508	1.16238261104138	4.66765160168059	8.77825749443051	0.00304842267728055	0.555777614141485
ENSMUSG00000027162	4521	1.12244601886857	5.08870805856818	8.77747967994961	0.00304972285168178	0.555777614141485
ENSMUSG00000074749	2278	1.58020858061616	4.06419841381184	8.70938493568331	0.00316576000848759	0.555777614141485
ENSMUSG00000045629	5795	4.8228148568462	2.2199115093867	8.70051627160799	0.00318119937798303	0.555777614141485
ENSMUSG00000072964	4800	1.09917543355289	5.41447825482874	8.66995309280555	0.0032349951850955	0.555777614141485
ENSMUSG00000068617	4431	2.59837847060051	2.89707414432663	8.65822456093867	0.00325588382083446	0.555777614141485
ENSMUSG00000038816	7661	1.17921506792667	4.73732075747172	8.62607478993146	0.00331384858134597	0.555777614141485
ENSMUSG00000021690	8858	1.28855159138474	4.42020981724406	8.5493660049352	0.00345642586387858	0.555777614141485
ENSMUSG00000060716	6718	1.65428218099647	3.73820109953531	8.54749419718717	0.00345998185062224	0.555777614141485
ENSMUSG00000026579	7430	2.6555728124381	3.31169733741745	8.50061380920856	0.00355026694243781	0.555777614141485
ENSMUSG00000055866	5856	1.00715491056188	5.17911956913592	8.48748834844046	0.00357597139913976	0.555777614141485
ENSMUSG00000024974	5541	1.03316090269885	5.30825838419647	8.40969564748339	0.00373225136713646	0.555777614141485
